EmpID | StartDate | ExitDate | Title | BusinessUnit | EmployeeStatus | PayZone | EmployeeClassificationType | TerminationType | Division | State | JobFunctionDescription | Performance Score | Current Employee Rating | LastName | DOB | 
3427 | 20-Sep-19 |  | Production Technician I | CCDR | Active | Zone C | Temporary | Unk | Finance & Accounting | MA | Accounting | Fully Meets | 4 | Bridges | 1969 | 
3428 | 11-Feb-23 |  | Production Technician I | EW | Active | Zone A | Part-Time | Unk | Aerial | MA | Labor | Fully Meets | 3 | Small | 1965 | 
3429 | 10-Dec-18 |  | Area Sales Manager | PL | Active | Zone B | Part-Time | Unk | General - Sga | MA | Assistant | Fully Meets | 4 | Buck | 1991 | 
3430 | 21-Jun-21 |  | Area Sales Manager | CCDR | Active | Zone A | Full-Time | Unk | Finance & Accounting | ND | Clerk | Fully Meets | 2 | Riordan | 1998 | 
3431 | 29-Jun-19 |  | Area Sales Manager | TNS | Active | Zone A | Temporary | Unk | General - Con | FL | Laborer | Fully Meets | 3 | Onque | 1969 | 
3432 | 17-Jan-20 |  | Area Sales Manager | BPC | Active | Zone B | Full-Time | Unk | Field Operations | CT | Driver | Fully Meets | 3 | Fraval | 1949 | 
3433 | 06-Apr-22 | 03-Jul-23 | Area Sales Manager | WBL | Active | Zone B | Temporary | Involuntary | General - Eng | CA | Technician | Exceeds | 4 | Costa | 1942 | 
3434 | 06-Nov-20 | 29-Jan-23 | Area Sales Manager | CCDR | Active | Zone C | Full-Time | Involuntary | Engineers | OR | Engineer | Fully Meets | 2 | Terry | 1957 | 
3435 | 18-Aug-18 |  | Area Sales Manager | NEL | Active | Zone B | Part-Time | Unk | Executive | TX | Executive Assistant | Exceeds | 3 | McKinzie | 1974 | 
3436 | 21-Jan-22 | 29-Jun-23 | Area Sales Manager | BPC | Active | Zone B | Temporary | Resignation | Engineers | TX | Engineer | Fully Meets | 5 | Martins | 1949 | 
3437 | 04-Aug-23 |  | Area Sales Manager | SVG | Active | Zone B | Temporary | Unk | Field Operations | IN | Technician | Fully Meets | 5 | Givens | 1964 | 
3438 | 10-Aug-18 | 04-Nov-19 | Area Sales Manager | MSC | Active | Zone C | Temporary | Retirement | General - Con | GA | Technician | Fully Meets | 3 | Nguyen | 1948 | 
3439 | 25-May-22 | 27-Nov-22 | Area Sales Manager | EW | Active | Zone A | Temporary | Involuntary | Splicing | CO | Splicer | Fully Meets | 3 | Khemmich | 1981 | 
3440 | 05-Dec-19 | 17-Feb-23 | Area Sales Manager | CCDR | Active | Zone A | Full-Time | Resignation | Finance & Accounting | KY | Controller | Fully Meets | 3 | Potts | 1951 | 
3441 | 28-Apr-19 |  | Area Sales Manager | BPC | Active | Zone A | Part-Time | Unk | General - Con | NV | Lineman | Exceeds | 4 | Jeremy | 1989 | 
3442 | 09-Jul-19 | 16-Jun-22 | Area Sales Manager | PYZ | Active | Zone A | Full-Time | Retirement | Field Operations | MA | Laborer | Exceeds | 2 | Moon | 1952 | 
3443 | 05-Apr-21 | 12-May-23 | Area Sales Manager | WBL | Active | Zone C | Part-Time | Voluntary | Project Management - Con | KY | Coordinator | Fully Meets | 3 | Tate | 1994 | 
3444 | 28-Nov-21 | 04-Feb-22 | Area Sales Manager | NEL | Active | Zone A | Part-Time | Voluntary | Engineers | KY | Director | Fully Meets | 3 | Rodgers | 1983 | 
3445 | 16-Jan-21 |  | Area Sales Manager | PL | Active | Zone C | Full-Time | Unk | Project Management - Con | KY | Supervisor | Exceeds | 4 | Park | 1985 | 
3446 | 24-Aug-21 |  | Area Sales Manager | BPC | Active | Zone A | Part-Time | Unk | Field Operations | TX | Driller | Exceeds | 2 | Dalton | 1996 | 
3447 | 26-May-20 | 18-Jun-23 | Area Sales Manager | CCDR | Future Start | Zone C | Part-Time | Involuntary | General - Con | TX | Technician | Fully Meets | 3 | Schultz | 1964 | 
3448 | 01-Oct-19 | 06-Nov-20 | Area Sales Manager | SVG | Future Start | Zone A | Temporary | Retirement | Engineers | TX | Specialist | Fully Meets | 3 | Molina | 1958 | 
3449 | 10-May-23 | 27-May-23 | Area Sales Manager | EW | Future Start | Zone B | Temporary | Involuntary | General - Eng | CO | Technician | Fully Meets | 5 | Preston | 1992 | 
