FirstName,LastName,EmployeeClassificationType,DOB,JobFunctionDescription,State,GenderCode,LocationCode,RaceDesc,MaritalDesc
Uriah,Bridges,Temporary,07-10-1969,Accounting,MA,Female,34904,White,Widowed
Paula,Small,Part-Time,30-08-1965,Labor,MA,Male,6593,Hispanic,Widowed
Edward,Buck,Part-Time,06-10-1991,Assistant,MA,Male,2330,Hispanic,Widowed
Michael,Riordan,Full-Time,04-04-1998,Clerk,ND,Male,58782,Other,Single
Jasmine,Onque,Temporary,29-08-1969,Laborer,FL,Female,33174,Other,Married
Maruk,Fraval,Full-Time,03-04-1949,Driver,CT,Male,6050,Black,Married
Latia,Costa,Temporary,01-07-1942,Technician,CA,Female,90007,Hispanic,Divorced
Sharlene,Terry,Full-Time,07-03-1957,Engineer,OR,Female,97756,White,Divorced
Jac,McKinzie,Part-Time,15-05-1974,Executive Assistant,TX,Male,78789,Black,Widowed
Joseph,Martins,Temporary,11-11-1949,Engineer,TX,Male,78207,Asian,Widowed
Myriam,Givens,Temporary,26-01-1964,Technician,IN,Female,46204,Other,Single
Dheepa,Nguyen,Temporary,06-04-1948,Technician,GA,Female,30428,Asian,Married
Bartholemew,Khemmich,Temporary,24-11-1981,Splicer,CO,Male,80820,Other,Single
Xana,Potts,Full-Time,06-11-1951,Controller,KY,Female,40220,White,Divorced
Prater,Jeremy,Part-Time,21-11-1989,Lineman,NV,Male,89139,Asian,Widowed
Kaylah,Moon,Full-Time,24-11-1952,Laborer,MA,Male,2810,Black,Single
Kristen,Tate,Part-Time,08-04-1994,Coordinator,KY,Male,2621,Asian,Widowed
Bobby,Rodgers,Part-Time,15-11-1983,Director,KY,Male,44553,Other,Widowed
Reid,Park,Full-Time,07-12-1985,Supervisor,KY,Female,5360,Other,Married
Hector,Dalton,Part-Time,01-05-1996,Driller,TX,Female,16325,White,Divorced
Mariela,Schultz,Part-Time,17-02-1964,Technician,TX,Female,43481,Asian,Widowed
Angela,Molina,Temporary,12-05-1958,Specialist,TX,Male,50705,Asian,Widowed
Gerald,Preston,Temporary,18-09-1992,Technician,CO,Male,5168,Black,Single
Reilly,Moyer,Temporary,11-08-1994,Operator,CO,Male,11765,Other,Single
Carlee,French,Full-Time,15-01-1968,Technician,CO,Male,71071,Other,Divorced
Jaydon,Blackburn,Part-Time,07-01-1947,Foreman,IN,Male,12122,Black,Divorced
Bridger,Carter,Part-Time,07-04-1982,Engineer,MA,Male,87065,White,Widowed
Leon,Beard,Full-Time,29-01-1970,Foreman,KY,Male,10415,Hispanic,Married
Charity,Miranda,Temporary,18-01-1999,Manager,KY,Male,3763,Other,Widowed
Axel,Howe,Temporary,25-09-1946,Technician,KY,Female,79623,Black,Divorced
Milton,Wall,Temporary,23-08-1947,Technician,KY,Female,69189,White,Divorced
Cory,Robinson,Full-Time,12-08-1996,Laborer,TX,Female,5194,Hispanic,Single
Saniya,Yu,Full-Time,09-02-1944,Splicer,TX,Male,8779,Black,Widowed
Alisa,James,Full-Time,10-02-1944,Lineman,TX,Male,74682,Asian,Married
Lincoln,Compton,Part-Time,29-12-1997,Foreman,CO,Male,78046,Hispanic,Married
Aliana,Nolan,Full-Time,09-08-1942,Coordinator,CO,Male,27270,Hispanic,Divorced
Kayden,Dodson,Temporary,21-06-1951,Tower Hand,IN,Male,12703,Hispanic,Single
James,Duke,Full-Time,17-06-1998,Mechanic,MA,Male,66835,Black,Widowed
Willow,Stuart,Full-Time,07-01-1962,Flagger,MA,Male,66150,Asian,Divorced
Clayton,Walker,Full-Time,26-01-1979,Supervisor,KY,Male,64288,Other,Married
Celia,Curtis,Part-Time,14-05-1987,Engineer,KY,Female,94333,Asian,Divorced
Valentin,Reilly,Temporary,26-04-1998,Foreman,KY,Female,45453,Black,Single
Ryland,Shepherd,Full-Time,21-02-1945,Driver,TX,Female,81905,Asian,Divorced
Esteban,Gilbert,Part-Time,31-05-1997,Technician,TX,Female,12491,Black,Married
Jonathan,Adkins,Temporary,03-01-1967,Foreman,TX,Male,64350,Asian,Married
Nevaeh,Soto,Full-Time,12-01-1982,Director,TX,Male,74124,Other,Married
Chaim,Mata,Temporary,01-10-1950,Manager,CO,Male,33379,Hispanic,Widowed
Arely,Patton,Temporary,16-12-1965,Laborer,CO,Male,34481,Other,Divorced
Vance,Trujillo,Temporary,25-12-1957,Foreman,IN,Male,90406,Asian,Widowed
Charlie,Koch,Temporary,20-06-1945,Engineer,MA,Male,95774,Asian,Divorced
Sonny,Horne,Full-Time,03-12-1969,Laborer,KY,Female,16058,Asian,Widowed
Thomas,Chandler,Temporary,10-10-1957,Groundman,KY,Female,45149,Hispanic,Married
Sarai,Stone,Part-Time,17-05-1962,Technician,TX,Female,96336,Hispanic,Widowed
Jerimiah,Harmon,Temporary,09-08-1946,Supervisor,TX,Female,75671,Black,Widowed
Leland,Allen,Part-Time,11-12-1965,Splicer,TX,Male,61149,Other,Widowed
Cristal,Bolton,Temporary,11-02-1990,Lineman,TX,Male,57302,Asian,Divorced
Jaslene,Harding,Temporary,19-06-1964,Coordinator,CO,Male,42605,Asian,Widowed
Albert,Gonzalez,Full-Time,18-07-1995,Model Assistant,CO,Male,64036,Other,Single
Jaiden,Johnson,Full-Time,22-08-1994,Laborer,CO,Male,23173,White,Widowed
Brendon,Mcconnell,Temporary,14-11-1990,Engineer,IN,Male,19665,Other,Widowed
Kimora,Parsons,Part-Time,01-02-1994,Administrator,KY,Female,41161,Other,Divorced
Willie,Patterson,Full-Time,12-11-1997,Lineman,KY,Female,52499,Asian,Single
Devyn,Powers,Temporary,02-05-1953,Laborer,TX,Female,25634,Black,Divorced
Weston,Preston,Part-Time,10-07-1991,Director,TX,Female,37965,Hispanic,Divorced
Lennon,Buchanan,Full-Time,02-06-1973,Driver,TX,Male,39504,White,Widowed
Vicente,Merritt,Full-Time,08-01-1993,Clerk,CO,Male,31676,Asian,Married
Hugo,Clay,Full-Time,17-04-1984,Project Manager,CO,Male,28784,Asian,Widowed
Cohen,Raymond,Full-Time,08-02-1994,Technician,CO,Male,90983,Black,Single
Tia,Ellis,Temporary,27-01-1993,Laborer,IN,Male,1115,Other,Married
Aspen,Bentley,Part-Time,19-09-1964,Administrator,CA,Male,72233,Other,Widowed
Graham,Rodriguez,Temporary,18-02-1981,Lineman,OR,Female,58210,Hispanic,Widowed
Joel,Mcmillan,Full-Time,17-10-1998,Laborer,KY,Female,36087,White,Widowed
Maci,Frost,Temporary,16-01-1971,Technician,KY,Female,61457,Asian,Widowed
Nevaeh,Lucas,Part-Time,25-02-2000,Mechanic,TX,Female,80424,White,Divorced
Garrett,Zimmerman,Part-Time,19-04-1959,Technician,TX,Male,6240,Other,Widowed
Eugene,Marks,Temporary,29-06-1976,Electrician,TX,Male,49914,White,Married
Geovanni,Pugh,Temporary,27-07-1951,Manager,CO,Male,71319,Other,Single
Javon,Kelley,Part-Time,23-08-1980,Laborer,CO,Male,27992,Hispanic,Married
Amaya,Hicks,Temporary,24-07-1943,Groundman,IN,Male,72324,Hispanic,Widowed
Laila,Woodard,Temporary,06-07-1988,Technician,IN,Male,38740,Other,Married
Ivan,Huff,Full-Time,24-03-1973,Manager,CA,Male,9437,White,Single
Aidan,Harding,Part-Time,26-05-1942,Laborer,OR,Male,9385,Asian,Single
Cruz,Boyer,Full-Time,04-11-1977,Project Controls,KY,Female,75993,Black,Married
Raven,Koch,Full-Time,17-10-1956,Laborer,KY,Female,65329,Hispanic,Married
Karli,Barker,Full-Time,18-02-1997,Director,KY,Female,41111,Asian,Divorced
Tyrone,Sosa,Temporary,25-10-1996,Coordinator,TX,Female,58860,Black,Single
Damaris,Cisneros,Temporary,13-11-1959,Laborer,TX,Male,93051,Other,Married
Alexus,Estes,Part-Time,03-01-1958,Manager,TX,Male,17419,Asian,Married
Kinsley,Flowers,Part-Time,29-04-1997,Controller,CO,Male,59593,White,Single
Deborah,Love,Part-Time,25-06-1988,Coordinator,CO,Male,96350,Asian,Divorced
Milagros,Francis,Part-Time,04-01-1942,Splicer,IN,Male,44469,Hispanic,Widowed
Roberto,Michael,Part-Time,24-05-1969,Coordinator,CA,Female,13249,Hispanic,Married
Elaine,Ewing,Temporary,28-03-1951,Groundman,CA,Male,17123,Hispanic,Widowed
Caiden,Munoz,Temporary,01-03-1963,Manager,ND,Female,18983,Black,Divorced
Jocelyn,Bradford,Part-Time,16-04-1949,Electrician,KY,Female,51795,Asian,Divorced
Marques,Armstrong,Part-Time,12-10-1983,Splicer,KY,Female,34369,Other,Single
Rohan,Chapman,Temporary,19-12-1978,Laborer,KY,Female,23092,Other,Single
Emmanuel,Franklin,Full-Time,11-11-1999,Laborer,TX,Male,6074,Asian,Divorced
Clayton,Mccormick,Temporary,29-01-1967,Foreman,TX,Male,72264,Hispanic,Single
Darius,Krause,Full-Time,30-05-1948,Foreman,TX,Male,28282,White,Widowed
Ahmed,Hawkins,Temporary,15-10-1974,Lineman,CO,Male,46645,Black,Married
Kymani,Benjamin,Part-Time,13-12-1991,Accounting,CO,Male,10790,Hispanic,Widowed
Callum,Mcdaniel,Full-Time,18-06-1994,Top Hand,IN,Male,67282,Hispanic,Single
Zariah,Black,Part-Time,16-06-1993,Tower Hand,CA,Female,62321,Black,Widowed
Ronnie,Mayer,Full-Time,18-05-1943,Project Manager,CA,Male,18409,Black,Divorced
Marlon,Ford,Full-Time,27-11-1966,Technician,OR,Female,40306,Black,Widowed
Slade,Griffith,Full-Time,12-11-1966,Administrator,ND,Male,65183,White,Married
Lee,Frye,Full-Time,16-08-1959,Engineer,KY,Female,97002,Asian,Single
Veronica,Rowe,Temporary,02-02-1994,Engineer,KY,Female,29811,Black,Single
Aylin,Berg,Temporary,02-01-1989,Administrative,GA,Female,89169,Black,Single
Neveah,Rowe,Part-Time,11-07-1954,Foreman,TX,Male,63882,Hispanic,Married
Keith,Baxter,Part-Time,29-08-1959,Engineer,TX,Male,62328,Asian,Widowed
Chaz,Bruce,Temporary,27-11-1983,Foreman,CO,Male,74448,Hispanic,Single
Maya,Mccann,Part-Time,09-06-1983,Supervisor,CO,Male,18721,White,Widowed
Aaron,Weber,Full-Time,27-10-1991,Technician,IN,Male,78938,Black,Married
Ellie,Gill,Temporary,01-03-1948,Manager,IN,Male,45456,White,Married
Rayne,Kerr,Temporary,18-02-1981,Laborer,CA,Female,45509,Black,Single
Samara,Mcbride,Temporary,16-09-2000,Foreman,CA,Male,13902,Asian,Single
Ryann,Rubio,Temporary,28-01-1943,Locator,OR,Female,9733,Black,Widowed
Paris,Carr,Part-Time,14-07-1980,Foreman,ND,Male,35786,Hispanic,Widowed
Adriel,Wiggins,Full-Time,25-03-1947,Supervisor,KY,Female,1919,Other,Married
Sanaa,Glass,Full-Time,25-01-1964,Technician,KY,Female,40135,White,Single
Ryan,Lynch,Full-Time,17-03-1955,Technician,GA,Female,72975,Black,Divorced
Charlie,Atkinson,Temporary,26-03-1988,Billing,TX,Male,57754,White,Divorced
Emery,Roach,Part-Time,04-07-1954,Engineer,TX,Male,81142,Black,Married
Harper,Ramos,Full-Time,11-08-1942,Foreman,CO,Male,28714,White,Single
Khalil,Mendez,Temporary,07-05-1949,Foreman,CO,Male,50379,Black,Divorced
Lizeth,Holland,Temporary,14-10-1958,Cpo,IN,Male,78385,Asian,Widowed
Matilda,Randall,Temporary,11-01-1988,Drafter,IN,Female,48104,Hispanic,Widowed
Damien,Howe,Temporary,16-06-1961,Vp,CA,Male,86009,White,Single
Nicholas,Obrien,Temporary,06-06-1960,Operator,MA,Male,68837,Other,Single
Mildred,Gentry,Part-Time,04-06-1959,Manager,MA,Female,2145,Black,Single
Wilson K,Adinolfi,Full-Time,18-11-1991,Assistant,MA,Male,1960,White,Single
Joanne,Handschiegl,Full-Time,18-02-1954,Technician,MA,Female,2127,Asian,Divorced
